"geneName","teName","pvalue","coef","padj","pair","kznf_age","te_age","count","repFamily"
"ZNF689","L1M3",0.000494338881280303,-0.668069182082698,0.0172340374131584,"ZNF689-L1M3","old","old","old-old","L1"
"ZNF689","L1M3c",0.000242258500394662,-0.693621784833803,0.0117359125614918,"ZNF689-L1M3c","old","old","old-old","L1"
"ZNF689","L1M4b",0.00347280098587768,-0.583453095532227,0.0504869264347361,"ZNF689-L1M4b","old","old","old-old","L1"
"ZNF689","L1M4c",0.00165503481211646,-0.618523188536213,0.0336474774805923,"ZNF689-L1M4c","old","old","old-old","L1"
"ZNF689","L1M7",0.000438398925108173,-0.672547182615125,0.0160831530984842,"ZNF689-L1M7","old","old","old-old","L1"
"ZNF689","L1MA3",0.0365049319068078,-0.438165075500067,0.183778759325876,"ZNF689-L1MA3","old","old","old-old","L1"
"ZNF689","L1MA5",0.0102475928722069,-0.524155927719463,0.0916464639076593,"ZNF689-L1MA5","old","old","old-old","L1"
"ZNF689","L1PA17",0.0097468341562899,-0.527148014738954,0.0891427811025361,"ZNF689-L1PA17","old","old","old-old","L1"
"ZNF689","L1PA8",0.00890047910118212,-0.532506541427458,0.0848650903573882,"ZNF689-L1PA8","old","old","old-old","L1"
"ZNF689","MER61C",0.00336132983985525,-0.585083031784211,0.0495940344300863,"ZNF689-MER61C","old","young","old-young","ERV1"
"ZNF689","MER83C",0.0390162792763104,-0.433035298026922,0.190688466486523,"ZNF689-MER83C","old","old","old-old","ERV1"
"ZNF19","MERX",0.00283449704749928,-0.593465282596468,0.0451888839214102,"ZNF19-MERX","old","old","old-old","TcMar-Tigger"
"ZSCAN12","L1MA4",0.0268740875136454,-0.460884431826526,0.155143415721205,"ZSCAN12-L1MA4","old","old","old-old","L1"
"ZSCAN12","L1P4d",0.0149804295912844,-0.500587372142089,0.112528926365113,"ZSCAN12-L1P4d","old","old","old-old","L1"
"ZSCAN12","L1PA8",0.0453539266899929,-0.421155852938971,0.206893303344639,"ZSCAN12-L1PA8","old","old","old-old","L1"
"ZNF222","AluYk12",0.0303233302318336,-0.452097496939333,0.165876664803358,"ZNF222-AluYk12","young","young","young-young","Alu"
"ZNF222","L1M4c",0.0345759443756411,-0.442297814472894,0.178255515227164,"ZNF222-L1M4c","young","old","young-old","L1"
"ZNF222","MER61B",0.0335235948937009,-0.444629809977904,0.175228221661893,"ZNF222-MER61B","young","young","young-young","ERV1"
"ZNF221","HAL1b",0.00778421745496214,-0.540259272915186,0.0787715943746808,"ZNF221-HAL1b","old","old","old-old","L1"
"ZNF221","L1M3c",0.0249605656595399,-0.466155035290907,0.148924455164751,"ZNF221-L1M3c","old","old","old-old","L1"
"ZNF221","L1MA4",0.0081317172773397,-0.5377522098628,0.0807103978646298,"ZNF221-L1MA4","old","old","old-old","L1"
