"geneName","teName","pvalue","coef","padj","pair","kznf_age","te_age","age_c"
"ZNF7","HERV1_LTRb",0.0244364218014214,-0.355354217549014,0.0731141344516423,"ZNF7-HERV1_LTRb","o","y","o-y"
"ZNF7","HERVE-int",1.49831008089652e-05,-0.626983298140136,0.000230676803682411,"ZNF7-HERVE-int","o","o","o-o"
"ZNF7","HERVL74-int",0.0275276132270035,-0.348519934539176,0.0801027070499582,"ZNF7-HERVL74-int","o","o","o-o"
"ZNF7","LTR16D1",0.0166694223122774,-0.376409576584067,0.0544877190651647,"ZNF7-LTR16D1","o","o","o-o"
"ZNF7","LTR3B",0.000215931896973426,-0.552875305057004,0.00182439823162943,"ZNF7-LTR3B","o","y","o-y"
"ZNF7","LTR6A",3.60050654913836e-07,-0.705995096634177,1.24861562259582e-05,"ZNF7-LTR6A","o","y","o-y"
"ZNF7","MER74B",2.34218875523512e-05,-0.615786679055024,0.000325019330210084,"ZNF7-MER74B","o","o","o-o"
"ZNF7","MER88",0.0105027113618414,-0.400209211366088,0.0381450564371245,"ZNF7-MER88","o","o","o-o"
"ZNF7","Tigger16a",0.000271613345894417,-0.545584434453055,0.00218304679924989,"ZNF7-Tigger16a","o","o","o-o"
"ZNF7","X6A_LINE",0.00625491654244982,-0.425065191475003,0.0255296044925702,"ZNF7-X6A_LINE","o","o","o-o"
